Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR, Maintainability
MobilePhone,25,8,4,17,4,4,17,0.24,0,0,1.0,2.333333333333333,3528.0,4,0,moderate
MoviesApp PL,13,4,4,7,4,3,7,0.1538461538461538,0,0,0.0,1.6666666666666667,24.0,0,3,moderate
Ubuntu1204_TextSize,17,4,1,6,8,2,6,0.3529411764705882,0,0,0.0,1.3846153846153846,32.0,0,2,moderate
Livraria Online,28,6,6,22,4,3,27,0.4285714285714285,2,3,1.0,3.333333333333333,58080.0,2,1,verybad
Video Player,53,14,6,33,5,9,33,0.320754716981132,0,0,1.0,2.103448275862069,844462080.0,9,0,good
FrameWorkProdemge,23,9,2,17,4,1,17,0.4782608695652174,0,0,0.0,3.2857142857142856,528.0,0,1,verybad
Text To Speech App,34,5,7,24,5,8,26,0.1176470588235294,2,0,1.0,2.2777777777777777,267840.0,3,5,bad
CFDP Library,13,0,1,8,3,1,11,0.6153846153846154,0,3,1.0,2.1666666666666665,319.0,1,0,verybad
Jetbrains,37,3,3,33,3,3,33,0.0,0,0,0.0,5.571428571428571,8454168639.0,3,0,moderate
Mobile Media,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1,moderate
Buzzard Radio play DB,14,2,8,12,4,4,14,0.2142857142857142,0,2,1.0,2.833333333333333,448.0,4,0,moderate
Mobile Media Adriano Lages,17,5,3,11,3,2,11,0.2941176470588235,0,0,0.0,2.25,420.0,1,1,moderate
e-commerce,56,5,11,42,5,12,47,0.125,1,4,0.0,2.576923076923077,824854609920.0,11,1,good
Card Payment Terminal,21,4,4,14,5,5,20,0.0952380952380952,0,6,1.0,2.083333333333333,4774.0,5,0,moderate
BankingSoftware,176,46,3,148,7,16,152,0.4375,4,0,0.0,4.340909090909091,5.258227990362193e+31,6,10,verygood
Billing,88,11,11,74,4,2,102,0.5113636363636364,0,28,0.0,5.5625,3865470566400.0,1,1,good
Editor de imagem,18,5,5,14,3,2,15,0.3333333333333333,1,0,1.0,3.1666666666666665,464.0,1,1,verybad
Devolution,32,10,7,20,7,4,20,0.375,0,0,0.0,2.1875,34632.0,3,1,good
Robot Calibration,33,10,9,23,3,8,30,0.0,4,3,0.0,2.2222222222222223,648.0,1,7,bad
Maquina de Cafe,10,2,4,7,3,2,7,0.2,0,0,0.0,2.2,36.0,1,1,moderate
AudioPlayer,17,9,3,12,4,1,12,0.2941176470588235,0,0,0.0,2.833333333333333,96.0,1,0,moderate
Siga,19,4,3,12,4,4,16,0.1578947368421052,2,2,1.0,2.0,192.0,2,2,moderate
WebApp,10,1,4,7,3,0,7,0.8,0,0,0.0,3.0,160.0,0,0,verybad
Jogo de Tiros,37,18,12,25,4,6,40,0.081081081081081,13,2,36.0,2.333333333333333,1296.0,1,5,bad
