Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR
Control biometrico,38,13,12,26,4,7,34,0.18421052631578946,1,7,0.0,2.3157894736842106,45696.0,6,1
prueba,26,9,5,18,4,3,20,0.2692307692307692,2,0,1.0,2.5454545454545454,720.0,0,3
Webmail,81,32,8,55,6,7,55,0.35802469135802467,0,0,0.0,2.6363636363636362,4.4927301888E11,7,0
Webshop,46,10,10,34,3,2,37,0.6304347826086957,2,1,1.0,3.357142857142857,8.153726976E9,1,1
SPL SimulES- PnP,53,14,3,35,6,11,35,0.22641509433962265,0,0,0.0,2.1724137931034484,9.7327104E7,3,8
Minimalistic PC Feature Model,10,4,4,7,3,2,11,0.1,4,0,1.0,2.2,4.0,0,2
IRIS,18,4,6,13,4,4,20,0.16666666666666666,2,5,1.0,2.3333333333333335,2352.0,3,1
Prontuário Eletrônico de Pacientes,10,5,4,6,2,0,6,0.4,0,0,0.0,2.25,10.0,0,0
FAME-DBMS,21,6,4,13,6,5,13,0.19047619047619047,0,0,0.0,1.9230769230769231,320.0,0,5
Wireless sensor actuator network,44,3,4,33,4,2,33,0.6363636363636364,0,0,0.0,3.4615384615384617,1.3441204224E10,2,0
RST Game,19,3,5,13,3,5,13,0.10526315789473684,0,0,0.0,2.090909090909091,1440.0,2,3
portafolioContreras,22,6,5,15,4,4,15,0.22727272727272727,0,0,0.0,2.272727272727273,1536.0,2,2
Windows70_TextSize,16,14,1,6,6,0,6,0.0625,0,0,0.0,1.5,2.0,0,0
Car Software System,18,7,2,12,5,3,12,0.16666666666666666,0,0,1.0,2.2222222222222223,70.0,2,1
Mobile Game,10,1,3,6,3,1,6,0.4,0,0,0.0,2.0,135.0,1,0
VR application,29,9,8,19,4,5,22,0.20689655172413793,2,1,1.0,2.2,3276.0,2,3
EC2,20,3,3,12,7,7,12,0.0,0,0,0.0,1.7333333333333334,32.0,0,7
SWAMP Platform,29,18,9,20,4,3,20,0.13793103448275862,0,0,0.0,2.5833333333333335,360.0,3,0
Dental Surgery,10,5,6,8,3,3,8,0.1,0,0,0.0,2.4,2.0,0,3
MobileMedia_BrunoMartins,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1
HandlingSystem,11,0,4,6,8,10,6,0.0,0,0,0.0,1.3333333333333333,1.0,9,1
Electronic Shopping,290,75,2,194,12,40,209,0.2827586206896552,0,15,0.0,2.4191176470588234,4.5204086093769845E49,40,0
Tienda Virtual PUJ,17,4,3,13,4,1,13,0.5294117647058824,0,0,0.0,3.4,816.0,0,1
ESCA Embeeded System,11,3,1,7,4,2,7,0.0,0,0,0.0,2.0,10.0,0,2
Urna eletronica Vinicius Cesar,15,5,3,11,4,4,11,0.0,0,0,0.0,2.25,6.0,0,4
Multiplicador de n matrices,12,2,4,8,3,3,8,0.16666666666666666,0,0,0.0,2.0,18.0,0,3
TreeStemDeformationMeshingTool,32,6,7,21,5,10,25,0.03125,0,4,1.0,1.9523809523809523,157584.0,10,0
PGE-FeatureModel_V1,48,8,13,35,5,12,35,0.10416666666666667,0,0,0.0,2.36,8.2954368E8,7,5
SMS a Cobrar / Resposta paga,17,8,8,12,3,1,12,0.4117647058823529,0,0,1.0,2.8333333333333335,96.0,1,0
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.0,2.1739130434782608,294912.0,5,6
Java EE 6 - Camilo Fierro,45,0,11,33,5,11,33,0.24444444444444444,0,0,0.0,2.391304347826087,1.0469376E9,7,4
Cellphone,11,2,3,7,3,3,11,0.09090909090909091,3,1,1.0,1.8571428571428572,14.0,1,2
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3
AudioPlayer,17,9,3,12,4,1,12,0.29411764705882354,0,0,0.0,2.8333333333333335,96.0,1,0
UP estructural,97,16,2,65,13,24,66,0.27835051546391754,1,0,0.0,2.142857142857143,1.480856961024E13,9,15
Online Shop Feature Model,12,3,3,8,3,3,8,0.0,0,0,0.0,2.0,42.0,1,2
Observatorio,11,5,2,4,6,2,4,0.2727272727272727,0,0,0.0,1.3333333333333333,8.0,2,0
MISO Uniandes 201411102,17,8,4,12,2,0,12,0.47058823529411764,0,0,0.0,3.2,120.0,0,0
Loja Virtual,11,3,2,7,4,2,9,0.09090909090909091,0,2,1.0,2.0,56.0,2,0
blog-Gabriel-magister2014,29,8,8,20,4,5,21,0.27586206896551724,1,0,2.0,2.357142857142857,10356.0,2,3
Help System,25,6,6,17,5,7,20,0.0,0,3,1.0,2.066666666666667,1008.0,1,6
Mobile Guide,51,20,12,29,6,0,29,0.5882352941176471,0,0,1.0,2.272727272727273,3.383808E7,0,0
Arcade Game PL Feature Model,61,18,2,47,8,9,80,0.08196721311475409,0,33,0.0,3.0,3.299733576E9,9,0
body comfort system,27,6,3,17,4,2,21,0.4444444444444444,1,3,0.0,2.3333333333333335,11616.0,1,1
CIMS PL,10,9,5,8,2,0,8,0.0,0,0,0.0,4.5,1.0,0,0
WebCollaborativeApplication,40,8,16,32,4,2,32,0.625,0,0,0.0,4.1,3.52512E7,1,1
PhotoSahring,76,14,4,49,8,21,49,0.06578947368421052,0,0,0.0,2.0,5.7354780672E12,16,5
STM 32,36,21,21,31,3,14,31,0.0,0,0,0.0,2.5789473684210527,1.0,14,0
SHIFT QAs,14,4,2,8,5,4,8,0.0,0,0,0.0,1.7,24.0,1,3
Mobile Media JULIO,14,6,3,9,3,1,10,0.42857142857142855,1,0,1.0,2.3333333333333335,24.0,0,1
Dental Surgery,10,5,6,8,3,3,8,0.1,0,0,0.0,2.4,2.0,0,3
GoPhone Inc,16,0,5,10,3,0,10,0.9375,0,0,0.0,2.5,3150.0,0,0
HDD Seagate,27,5,6,20,3,6,36,0.037037037037037035,16,0,0.0,2.4615384615384617,560.0,1,5
Card Payment Terminal,21,4,4,14,5,5,20,0.09523809523809523,0,6,1.0,2.0833333333333335,4774.0,5,0
Warren,37,20,3,24,7,4,25,0.05405405405405406,1,0,2.0,2.3529411764705883,1028.0,1,3
Video CMS,36,9,9,28,5,8,28,0.19444444444444445,0,0,0.0,2.6875,378000.0,6,2
Automotive system,31,8,5,20,6,8,31,0.0967741935483871,9,2,0.0,2.0,1344.0,1,7
Toko,63,19,9,43,5,11,43,0.2222222222222222,0,0,1.0,2.3548387096774195,6.53184E9,10,1
NOVASOFT,49,48,3,45,2,0,45,0.0,0,0,0.0,12.0,1.0,0,0
ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5
Graph,30,16,1,19,6,3,19,0.23333333333333334,0,0,0.0,2.2857142857142856,192.0,0,3
Mobile Applications Contents,22,5,4,17,3,1,17,0.5,0,0,0.0,3.6666666666666665,5280.0,0,1
Assistencia domiciliar,25,6,7,16,4,7,18,0.12,0,2,1.0,1.9375,5796.0,7,0
Tata Cars,13,5,4,8,3,2,8,0.15384615384615385,0,0,0.0,2.0,24.0,1,1
Windows .NET,13,6,9,11,3,2,11,0.3076923076923077,0,0,0.0,3.5,16.0,2,0
Flight Reservations,15,5,4,10,5,4,12,0.0,0,2,1.0,2.0,126.0,4,0
Ubuntu1204_TextSize,17,4,1,6,8,2,6,0.35294117647058826,0,0,0.0,1.3846153846153846,32.0,0,2
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3
Inventory,37,9,2,28,4,6,33,0.16216216216216217,0,5,1.0,2.8,2028096.0,4,2
Torrent Client,29,2,12,21,3,6,25,0.3793103448275862,1,3,1.0,2.4285714285714284,147456.0,3,3
FQAs v2 7ctcs,178,32,1,124,9,43,133,0.09550561797752809,2,7,0.0,2.268041237113402,2.934973779180551E24,14,29
WebKit overview,19,4,3,13,4,4,23,0.05263157894736842,10,0,1.0,2.2,87.0,0,4
FIRE-ALARM,19,4,2,10,6,7,16,0.0,6,0,1.0,1.5625,18.0,4,3
Jetbrains,33,13,3,25,4,2,28,0.2727272727272727,3,0,2.0,3.4,4884.0,0,2
Configurable Tank,24,9,3,14,4,6,16,0.08333333333333333,2,0,1.0,1.8125,108.0,1,5
FM ERP-SPL,57,28,6,37,6,6,39,0.24561403508771928,0,2,1.0,2.3846153846153846,1292544.0,6,0
RaaS,32,2,19,28,3,3,28,0.53125,0,0,0.0,4.857142857142857,1.2582912E8,3,0
SlotsAndModules,28,5,2,18,4,7,36,0.14285714285714285,18,0,0.0,2.0,6.0,0,7
Sistema de Informes por movil,28,6,8,21,3,6,35,0.07142857142857142,10,4,0.0,2.5384615384615383,534.0,2,4
Limerick Bike Sharing System,34,25,6,26,5,2,26,0.029411764705882353,0,0,0.0,3.5,48.0,1,1
Virtual_Office_of_the_Future,14,6,3,8,5,1,8,0.35714285714285715,0,0,0.0,2.0,48.0,0,1
e-commerce,15,4,4,11,4,2,11,0.2,0,0,0.0,2.6666666666666665,213.0,1,1
IIoT,11,4,4,7,3,2,10,0.09090909090909091,2,1,1.0,2.0,17.0,1,1
VOD feature model,11,5,7,8,2,0,8,0.45454545454545453,0,0,1.0,3.3333333333333335,32.0,0,0
Windows70_Contrast,59,15,1,40,10,7,40,0.1694915254237288,0,0,0.0,2.5,379260.0,0,7
Congress Assistant,12,2,4,8,5,3,8,0.16666666666666666,0,0,0.0,2.0,48.0,1,2
NCV_Simulation,13,7,2,7,5,1,7,0.23076923076923078,0,0,0.0,1.8571428571428572,18.0,1,0
NoEsCameron (SPL),25,11,7,18,4,3,24,0.2,0,6,1.0,2.7,840.0,3,0
Hastane Randevu Sistemi,17,4,6,12,3,4,22,0.11764705882352941,8,2,16.0,2.2222222222222223,216.0,1,3
GitFlow,12,11,6,7,4,0,7,0.0,0,0,0.0,2.2,1.0,0,0
HelpSystem_2,26,9,7,18,3,6,21,0.0,0,3,0.0,2.2142857142857144,96.0,1,5
Reference Management Softwares Feature Model,31,6,4,23,4,4,34,0.3225806451612903,1,10,1.0,2.8333333333333335,87480.0,3,1
ModelTransformation,88,17,8,55,9,25,55,0.125,0,0,0.0,1.9310344827586208,1.655417088E13,14,11
Smart_Home,28,2,6,19,4,2,19,0.6785714285714286,0,0,1.0,2.6363636363636362,182280.0,1,1
Magister 2014-ROLOG,13,4,10,11,3,1,11,0.46153846153846156,0,0,0.0,4.333333333333333,96.0,0,1
Simple Drawing Tools,14,2,2,11,3,2,11,0.0,0,0,0.0,3.0,1905.0,2,0
Flight Reservations,15,5,4,10,5,4,12,0.0,0,2,1.0,2.0,126.0,4,0
Mobile Media until relase 7,17,9,3,12,3,1,12,0.23529411764705882,0,0,0.0,2.8333333333333335,112.0,1,0
VacacionesSanmiguel,25,3,9,18,4,5,24,0.28,0,6,1.0,2.4166666666666665,28764.0,5,0
Home_Automation_System,17,1,3,13,3,3,13,0.17647058823529413,0,0,0.0,2.7142857142857144,4096.0,3,0
AvionFEatures,10,4,5,7,3,2,7,0.1,0,0,0.0,2.2,12.0,2,0
Assess4me,40,19,4,24,6,5,24,0.2,0,0,0.0,2.0952380952380953,6144.0,1,4
SimulesSPLBruno,19,15,4,13,3,0,13,0.15789473684210525,0,0,0.0,3.0,8.0,0,0
WindFarm,27,15,5,19,5,4,19,0.037037037037037035,0,0,0.0,2.5,72.0,0,4
FM ERP-SPL,42,23,5,29,4,3,31,0.23809523809523808,0,2,1.0,2.75,4320.0,3,0
B2B Website,37,23,3,29,4,2,29,0.13513513513513514,0,0,1.0,3.8,7200.0,2,0
Sastm,30,5,4,20,5,7,28,0.16666666666666666,0,8,0.0,2.1176470588235294,78240.0,7,0
Robot Calibration,33,10,9,23,3,8,30,0.0,4,3,0.0,2.2222222222222223,648.0,1,7
ETRobocon,11,3,2,8,3,1,8,0.2727272727272727,0,0,0.0,2.75,120.0,1,0
Buscame,12,3,3,8,3,3,8,0.0,0,0,0.0,2.0,18.0,0,3
E-portal,11,5,4,8,4,1,8,0.2727272727272727,0,0,0.0,2.75,16.0,1,0
eventos2,25,4,7,18,3,6,18,0.12,0,0,0.0,2.3076923076923075,10584.0,2,4
Applications,34,16,3,10,7,2,10,0.4411764705882353,0,0,2.0,1.3461538461538463,1944.0,2,0
E-Learning,24,5,4,17,4,4,18,0.3333333333333333,0,1,1.0,2.4545454545454546,10240.0,3,1
poker spl,11,3,4,7,3,1,7,0.36363636363636365,0,0,0.0,2.2,21.0,0,1
E-commerce system1,12,9,2,8,3,0,8,0.16666666666666666,0,0,0.0,2.75,3.0,0,0
Electric Car,10,3,6,8,3,1,8,0.4,0,0,0.0,3.3333333333333335,32.0,0,1
OnlineExamPL,18,12,5,11,5,1,11,0.16666666666666666,0,0,1.0,2.25,10.0,1,0
Micro Test,95,4,4,82,7,12,82,0.0,0,0,0.0,4.24,6.044629098073146E23,12,0
Mobile Media,14,8,3,8,3,2,8,0.14285714285714285,0,0,1.0,1.875,6.0,0,2
U-learning System,24,3,4,16,5,3,16,0.5,0,0,0.0,2.3636363636363638,59584.0,3,0
Physiological computing feature model,33,9,6,22,5,7,22,0.12121212121212122,0,0,1.0,2.1666666666666665,24180.0,2,5
Smart Queue,13,4,6,9,5,6,9,0.15384615384615385,0,0,0.0,1.8,4.0,0,6
LXEP,10,8,2,7,2,0,7,0.1,0,0,0.0,3.0,2.0,0,0
Jogo de Engenharia de Software,20,5,6,16,4,3,17,0.35,1,0,1.0,3.142857142857143,896.0,1,2
Text Editor,12,4,2,7,5,1,7,0.3333333333333333,0,0,1.0,2.0,11.0,0,1
Mobile Media,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1
Mobile Media v2,43,12,14,31,5,7,33,0.23255813953488372,0,2,0.0,2.5789473684210527,2128896.0,4,3
Seguridad,10,3,4,6,3,1,6,0.5,0,0,0.0,2.0,24.0,1,0
FrameWorkProdemge,23,9,2,17,4,1,17,0.4782608695652174,0,0,0.0,3.2857142857142856,528.0,0,1
MasterSoft: Verkauf,26,14,2,14,6,2,14,0.2692307692307692,0,0,0.0,1.9285714285714286,384.0,0,2
CCCMS,12,3,6,9,3,1,9,0.3333333333333333,0,0,0.0,3.0,240.0,1,0
Video CMS,36,9,9,28,5,8,28,0.19444444444444445,0,0,0.0,2.6875,378000.0,6,2
Pip,14,13,8,12,2,0,12,0.0,0,0,0.0,6.5,1.0,0,0
Software Stack,37,1,2,25,8,11,37,0.05405405405405406,9,3,1.0,2.0434782608695654,17073.0,3,8
MobilePhone,25,8,4,17,4,4,17,0.24,0,0,1.0,2.3333333333333335,3528.0,4,0
B2B Website,37,23,3,29,4,2,29,0.13513513513513514,0,0,1.0,3.8,7200.0,2,0
SPLE robot assignment,23,7,5,14,5,7,20,0.0,3,3,0.0,1.8125,120.0,2,5
e-banking-IN0980,55,3,9,41,5,11,44,0.14545454545454545,3,0,0.0,2.6,5.1702726656E11,9,2
ABMS,12,0,2,7,3,0,7,0.9166666666666666,0,0,0.0,2.2,246.0,0,0
IOS5_TextSize,16,5,1,7,6,1,7,0.375,0,0,0.0,1.6,76.0,0,1
MobileMedia,10,2,4,7,3,1,7,0.4,0,0,0.0,2.5,30.0,0,1
TW SPL Hard Choices,12,9,2,9,2,0,9,0.16666666666666666,0,0,0.0,3.6666666666666665,4.0,0,0
Documentation_Generation,44,7,3,32,6,9,43,0.06818181818181818,1,10,0.0,2.4761904761904763,5.568156E7,5,4
