Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR, Maintainability
Movie System,13,4,4,7,4,3,7,0.15384615384615385,0,0,0.0,1.6666666666666667,24.0,0,3,good
Mobile Media 2,43,12,15,32,5,7,34,0.23255813953488372,0,2,0.0,2.7222222222222223,2128896.0,4,3,bad
MobileMedia_Conejero,25,16,3,15,3,0,15,0.32,0,0,0.0,2.4,256.0,0,0,verygood
Simple Drawing Tools,14,2,2,11,3,2,11,0.0,0,0,0.0,3.0,1905.0,2,0,verygood
SMS a Cobrar / Resposta paga,17,8,8,12,3,1,12,0.4117647058823529,0,0,1.0,2.8333333333333335,96.0,1,0,verygood
AGORA,14,4,3,8,4,3,8,0.21428571428571427,0,0,0.0,1.7777777777777777,120.0,3,0,good
Simaldores de Engenharia de Software,16,4,6,11,3,4,11,0.125,0,0,0.0,2.111111111111111,96.0,0,4,verygood
Graph,30,16,1,19,6,3,19,0.23333333333333334,0,0,0.0,2.2857142857142856,192.0,0,3,moderate
Simnumero,10,2,2,2,8,0,2,0.7,0,0,0.0,1.125,8.0,0,0,verygood
Arcade Game PL Feature Model,61,18,2,47,8,9,80,0.08196721311475409,0,33,0.0,3.0,3.299733576E9,9,0,verybad
Ligne des sites Web,25,7,3,16,5,4,21,0.28,3,2,0.0,2.1538461538461537,181.0,2,2,moderate
Mobile Media v2,43,12,14,31,5,7,33,0.23255813953488372,0,2,0.0,2.5789473684210527,2128896.0,4,3,bad
Video Player,71,23,6,53,5,5,53,0.16901408450704225,0,0,0.0,3.260869565217391,4.500649880064E13,5,0,bad
Mobile Media,14,8,3,8,3,2,8,0.14285714285714285,0,0,1.0,1.875,6.0,0,2,verygood
Experiment environment,35,1,2,29,4,6,57,0.0,9,19,1.0,3.3333333333333335,2326875.0,5,1,bad
Seguridad,10,3,4,6,3,1,6,0.5,0,0,0.0,2.0,24.0,1,0,verygood
Phone,10,2,4,7,2,0,7,0.7,0,0,1.0,3.0,46.0,0,0,verygood
Heroku,26,3,5,18,4,6,18,0.15384615384615385,0,0,0.0,2.2142857142857144,1400.0,0,6,moderate
TreeStemDeformationMeshingTool,32,6,7,21,5,10,25,0.03125,0,4,1.0,1.9523809523809523,157584.0,10,0,moderate
SPLE robot assignment,23,7,5,14,5,7,20,0.0,3,3,0.0,1.8125,120.0,2,5,moderate
Pip,14,13,8,12,2,0,12,0.0,0,0,0.0,6.5,1.0,0,0,verygood
GuideAgent,17,11,4,12,3,2,17,0.0,0,5,0.0,2.5714285714285716,11.0,2,0,verygood
Hastane Randevu Sistemi,17,4,6,12,3,4,22,0.11764705882352941,8,2,16.0,2.2222222222222223,216.0,1,3,verygood
blog-Gabriel-magister2014,29,8,8,20,4,5,21,0.27586206896551724,1,0,2.0,2.357142857142857,10356.0,2,3,moderate
WindFarm,27,15,5,19,5,4,19,0.037037037037037035,0,0,0.0,2.5,72.0,0,4,moderate
Mac1010_Contrast,45,25,2,25,8,2,25,0.2,0,0,0.0,2.090909090909091,12288.0,0,2,verybad
WebCollaborativeApplication,40,8,16,32,4,2,32,0.625,0,0,0.0,4.1,3.52512E7,1,1,bad
Warren,37,20,3,24,7,4,25,0.05405405405405406,1,0,2.0,2.3529411764705883,1028.0,1,3,bad
HelpSystem_2,26,9,7,18,3,6,21,0.0,0,3,0.0,2.2142857142857144,96.0,1,5,good
drupal sawsen,10,3,4,5,5,3,6,0.3,0,1,1.0,1.5,8.0,1,2,good
Speech Recognition,75,31,3,52,7,13,52,0.05333333333333334,0,0,0.0,2.4166666666666665,652800.0,0,13,verybad
PGE-FeatureModel_V1,48,8,13,35,5,12,35,0.10416666666666667,0,0,0.0,2.36,8.2954368E8,7,5,bad
SHIFT QAs,14,4,2,8,5,4,8,0.0,0,0,0.0,1.7,24.0,1,3,good
Toko,48,15,7,32,5,7,33,0.2708333333333333,0,1,1.0,2.347826086956522,2970240.0,4,3,bad
Feature Model for T-mall,40,25,8,31,5,4,33,0.075,0,2,1.0,3.3076923076923075,2352.0,4,0,bad
VOD feature model,11,5,7,8,2,0,8,0.45454545454545453,0,0,1.0,3.3333333333333335,32.0,0,0,verygood
Online Shop Feature Model,12,3,3,8,3,3,8,0.0,0,0,0.0,2.0,42.0,1,2,verygood
MarketplaceMiso,35,21,6,28,2,0,28,0.37142857142857144,0,0,0.0,4.857142857142857,6144.0,0,0,moderate
E-Learning,24,5,4,17,4,4,18,0.3333333333333333,0,1,1.0,2.4545454545454546,10240.0,3,1,moderate
VacacionesSanmiguel,25,3,9,18,4,5,24,0.28,0,6,1.0,2.4166666666666665,28764.0,5,0,moderate
ABMS,12,0,2,7,3,0,7,0.9166666666666666,0,0,0.0,2.2,246.0,0,0,verygood
MiniTV,14,5,4,11,2,1,11,0.21428571428571427,0,0,0.0,3.5,248.0,1,0,verygood
Smartwatch,10,2,3,6,3,3,9,0.1,2,1,0.0,1.7142857142857142,14.0,1,2,verygood
Car Software System,18,7,2,12,5,3,12,0.16666666666666666,0,0,1.0,2.2222222222222223,70.0,2,1,good
TVSmart,14,4,5,9,5,3,10,0.21428571428571427,1,0,1.0,2.0,28.0,0,3,moderate
Mobile media v4,14,11,2,9,3,0,9,0.14285714285714285,0,0,0.0,2.6,4.0,0,0,verygood
Invio,24,4,4,17,5,4,18,0.3333333333333333,0,1,0.0,2.4545454545454546,23520.0,3,1,moderate
UP estructural,97,16,2,65,13,24,66,0.27835051546391754,1,0,0.0,2.142857142857143,1.480856961024E13,9,15,bad
Graph Product Line,17,2,4,12,3,4,22,0.11764705882352941,4,6,0.0,2.2222222222222223,79.0,1,3,verygood
Cellphone,11,2,3,7,3,3,11,0.09090909090909091,3,1,1.0,1.8571428571428572,14.0,1,2,verygood
prueba,26,9,5,18,4,3,20,0.2692307692307692,2,0,1.0,2.5454545454545454,720.0,0,3,moderate
Control biometrico,38,13,12,26,4,7,34,0.18421052631578946,1,7,0.0,2.3157894736842106,45696.0,6,1,bad
Toko,63,19,9,43,5,11,43,0.2222222222222222,0,0,1.0,2.3548387096774195,6.53184E9,10,1,bad
E-science application,61,1,3,43,8,16,46,0.11475409836065574,1,2,1.0,2.235294117647059,4.7185922E8,5,11,verybad
Adempiere,43,36,3,32,4,0,32,0.13953488372093023,0,0,0.0,3.8181818181818183,64.0,0,0,bad
ClassicShell,65,3,4,48,4,14,56,0.24615384615384617,8,0,1.0,2.5161290322580645,3.592512E8,0,14,bad
Limerick Bike Sharing System,34,25,6,26,5,2,26,0.029411764705882353,0,0,0.0,3.5,48.0,1,1,bad
Game Entity Model,21,5,3,14,4,3,14,0.3333333333333333,0,0,0.0,2.3,513.0,0,3,verygood
Pricing,33,4,5,25,5,7,25,0.030303030303030304,0,0,0.0,2.6,673785.0,5,2,bad
Alarm System,13,2,6,10,3,4,12,0.15384615384615385,1,1,1.0,2.2857142857142856,42.0,2,2,verygood
Tata Cars,13,5,4,8,3,2,8,0.15384615384615385,0,0,0.0,2.0,24.0,1,1,verygood
MayaModel,57,31,8,38,5,7,39,0.15789473684210525,1,0,1.0,2.423076923076923,206976.0,4,3,bad
MobilePhone,25,8,4,17,4,4,17,0.24,0,0,1.0,2.3333333333333335,3528.0,4,0,moderate
MoviesApp PL,13,4,4,7,4,3,7,0.15384615384615385,0,0,0.0,1.6666666666666667,24.0,0,3,good
Ubuntu1204_TextSize,17,4,1,6,8,2,6,0.35294117647058826,0,0,0.0,1.3846153846153846,32.0,0,2,verygood
Livraria Online,28,6,6,22,4,3,27,0.42857142857142855,2,3,1.0,3.3333333333333335,58080.0,2,1,moderate
Video Player,53,14,6,33,5,9,33,0.32075471698113206,0,0,1.0,2.103448275862069,8.4446208E8,9,0,bad
FrameWorkProdemge,23,9,2,17,4,1,17,0.4782608695652174,0,0,0.0,3.2857142857142856,528.0,0,1,verygood
Text To Speech App,34,5,7,24,5,8,26,0.11764705882352941,2,0,1.0,2.2777777777777777,267840.0,3,5,bad
CFDP Library,13,0,1,8,3,1,11,0.6153846153846154,0,3,1.0,2.1666666666666665,319.0,1,0,verygood
Jetbrains,37,3,3,33,3,3,33,0.0,0,0,0.0,5.571428571428571,8.454168639E9,3,0,verybad
Mobile Media,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1,verygood
Buzzard Radio play DB,14,2,8,12,4,4,14,0.21428571428571427,0,2,1.0,2.8333333333333335,448.0,4,0,moderate
Mobile Media Adriano Lages,17,5,3,11,3,2,11,0.29411764705882354,0,0,0.0,2.25,420.0,1,1,verygood
e-commerce,56,5,11,42,5,12,47,0.125,1,4,0.0,2.576923076923077,8.2485460992E11,11,1,bad
Card Payment Terminal,21,4,4,14,5,5,20,0.09523809523809523,0,6,1.0,2.0833333333333335,4774.0,5,0,moderate
BankingSoftware,176,46,3,148,7,16,152,0.4375,4,0,0.0,4.340909090909091,5.258227990362193E31,6,10,bad
Billing,88,11,11,74,4,2,102,0.5113636363636364,0,28,0.0,5.5625,3.8654705664E12,1,1,bad
Editor de imagem,18,5,5,14,3,2,15,0.3333333333333333,1,0,1.0,3.1666666666666665,464.0,1,1,verygood
Devolution,32,10,7,20,7,4,20,0.375,0,0,0.0,2.1875,34632.0,3,1,moderate
Robot Calibration,33,10,9,23,3,8,30,0.0,4,3,0.0,2.2222222222222223,648.0,1,7,moderate
Maquina de Cafe,10,2,4,7,3,2,7,0.2,0,0,0.0,2.2,36.0,1,1,verygood
AudioPlayer,17,9,3,12,4,1,12,0.29411764705882354,0,0,0.0,2.8333333333333335,96.0,1,0,verygood
Siga,19,4,3,12,4,4,16,0.15789473684210525,2,2,1.0,2.0,192.0,2,2,moderate
